incident_id,title,type,severity,area_id,reported_at,reporter_id,address,status,msg,latitude,longitude,reviewed_at,reviewer_id,review_status,review_note
1,馬太鞍溪土石流災情,土石流,5,花蓮縣光復鄉,2024-10-07 08:30:00,15,花蓮縣光復鄉馬太鞍溪,Occurring,馬太鞍溪上游發生大規模土石流，造成道路中斷，多戶民宅受損,23.654321,121.456789,2024-10-07 10:00:00,4,Verified,已確認災情，啟動應變機制
2,光復鄉自來水中斷,公共設施,4,花蓮縣光復鄉,2024-10-07 09:15:00,15,花蓮縣光復鄉馬錫山,Occurring,強降雨導致自來水系統受損，多個區域停水,23.655432,121.457890,2024-10-07 11:00:00,4,Verified,已通知自來水公司搶修
3,富里鄉道路坍方,道路災害,4,花蓮縣富里鄉,2024-10-07 10:20:00,16,花蓮縣富里鄉台9線,Occurring,台9線部分路段因土石坍方封閉，影響交通,23.175432,121.256789,2024-10-07 12:00:00,4,Verified,已派員清理，預計明日恢復
4,壽豐鄉淹水災情,水災,3,花蓮縣壽豐鄉,2024-10-07 11:45:00,10,花蓮縣壽豐鄉臨時醫療站,Occurring,低窪地區積水嚴重，部分民宅進水,23.876543,121.567890,2024-10-07 13:30:00,4,Verified,已設置臨時避難所
5,玉里鎮橋樑損壞,橋樑災害,5,花蓮縣玉里鎮,2024-10-08 08:00:00,17,花蓮縣玉里鎮玉里大橋,Occurring,橋樑結構受損，暫時封閉通行,23.332109,121.312345,2024-10-08 09:30:00,4,Verified,已進行安全評估
6,光復鄉堰塞湖形成,堰塞湖,5,花蓮縣光復鄉,2024-10-08 09:30:00,11,花蓮縣光復鄉馬太鞍溪上游,Occurring,土石流阻塞河道形成堰塞湖，有潰堤風險,23.654321,121.456789,2024-10-08 11:00:00,4,Verified,緊急處理中，需挖土機支援
7,瑞穗鄉山區道路中斷,道路災害,3,花蓮縣瑞穗鄉,2024-10-08 14:20:00,18,花蓮縣瑞穗鄉紅葉村,Occurring,山區道路多處落石，車輛無法通行,23.498765,121.378901,2024-10-08 16:00:00,4,Verified,已派員清理
8,鳳林鎮停電,公共設施,4,花蓮縣鳳林鎮,2024-10-08 15:45:00,19,花蓮縣鳳林鎮,Occurring,強風導致電線桿倒塌，部分區域停電,23.745678,121.445678,2024-10-08 17:30:00,4,Verified,台電已派員搶修
9,光復鄉避難所需求,避難需求,3,花蓮縣光復鄉,2024-10-09 08:15:00,15,花蓮縣光復鄉社區活動中心,Occurring,避難所收容人數增加，物資需求量大,23.654321,121.456789,2024-10-09 10:00:00,4,Verified,已協調物資支援
10,卓溪鄉通訊中斷,通訊災害,4,花蓮縣卓溪鄉,2024-10-09 10:30:00,26,花蓮縣卓溪鄉,Occurring,基地台受損，部分區域通訊不良,23.312345,121.234567,2024-10-09 12:00:00,4,Verified,已通知電信公司
11,玉里鎮房屋倒塌,建築災害,5,花蓮縣玉里鎮,2024-10-09 13:20:00,20,花蓮縣玉里鎮中正路,Occurring,多戶房屋因土石流沖擊倒塌,23.332109,121.312345,2024-10-09 15:00:00,4,Verified,已疏散住戶
12,光復鄉農田淹沒,農業災害,3,花蓮縣光復鄉,2024-10-09 16:00:00,15,花蓮縣光復鄉農田區,Occurring,大量農田被淹沒，農作物受損嚴重,23.654321,121.456789,2024-10-09 18:00:00,4,Verified,已通報農委會
13,富里鄉避難所物資短缺,物資需求,4,花蓮縣富里鄉,2024-10-09 18:30:00,16,花蓮縣富里鄉避難所,Occurring,避難所食物與飲用水不足,23.175432,121.256789,2024-10-09 20:00:00,4,Verified,已緊急調度物資
14,壽豐鄉醫療站需求,醫療需求,4,花蓮縣壽豐鄉,2024-10-10 09:00:00,10,花蓮縣壽豐鄉臨時醫療站,Occurring,傷患增加，醫療人員與物資不足,23.876543,121.567890,2024-10-10 11:00:00,4,Verified,已協調醫療支援
15,光復鄉動物收容需求,動物救援,2,花蓮縣光復鄉,2024-10-10 11:30:00,25,花蓮縣光復鄉動物收容區,Occurring,多隻流浪動物受傷，需要獸醫協助,23.654321,121.456789,2024-10-10 13:00:00,4,Verified,已聯繫動物防疫所
16,玉里鎮交通管制,交通管制,3,花蓮縣玉里鎮,2024-10-10 14:00:00,17,花蓮縣玉里鎮主要道路,Occurring,因道路修復需要，實施交通管制,23.332109,121.312345,2024-10-10 16:00:00,4,Verified,已公告管制時間
17,瑞穗鄉志工需求,人力需求,3,花蓮縣瑞穗鄉,2024-10-10 15:30:00,18,花蓮縣瑞穗鄉紅葉村,Occurring,道路清理需要大量志工協助,23.498765,121.378901,2024-10-10 17:00:00,4,Verified,已招募志工
18,光復鄉心理支援需求,心理支援,2,花蓮縣光復鄉,2024-10-10 17:00:00,14,花蓮縣各避難所,Occurring,災民需要心理諮商服務,23.654321,121.456789,2024-10-10 19:00:00,4,Verified,已安排心理師
19,富里鄉通訊恢復,通訊恢復,1,花蓮縣富里鄉,2024-10-11 08:00:00,16,花蓮縣富里鄉,Solved,通訊設備已修復，通訊正常,23.175432,121.256789,2024-10-11 10:00:00,4,Verified,通訊已恢復正常
20,光復鄉部分道路恢復,道路恢復,2,花蓮縣光復鄉,2024-10-11 10:30:00,15,花蓮縣光復鄉主要道路,Solved,部分道路已清理完成，可單向通行,23.654321,121.456789,2024-10-11 12:00:00,4,Verified,道路已部分恢復
21,玉里鎮二次土石流,土石流,4,花蓮縣玉里鎮,2024-10-12 08:00:00,17,花蓮縣玉里鎮山區,Occurring,山區再次發生土石流，影響道路修復進度,23.332109,121.312345,2024-10-12 10:00:00,4,Verified,已派員處理
22,富里鄉橋樑受損,橋樑災害,3,花蓮縣富里鄉,2024-10-12 09:30:00,16,花蓮縣富里鄉富里橋,Occurring,橋樑結構出現裂縫，需要專業評估,23.175432,121.256789,2024-10-12 11:00:00,4,Verified,已安排檢測
23,光復鄉電力恢復,公共設施,2,花蓮縣光復鄉,2024-10-12 10:00:00,12,花蓮縣光復鄉,Solved,電力系統已修復，供電正常,23.654321,121.456789,2024-10-12 12:00:00,4,Verified,供電已恢復
24,壽豐鄉道路搶通,道路災害,2,花蓮縣壽豐鄉,2024-10-12 11:30:00,10,花蓮縣壽豐鄉主要道路,Solved,主要道路已搶通，可通行,23.876543,121.567890,2024-10-12 13:00:00,4,Verified,道路已通
25,瑞穗鄉通訊恢復,通訊災害,2,花蓮縣瑞穗鄉,2024-10-12 13:00:00,18,花蓮縣瑞穗鄉,Solved,通訊設備已修復,23.498765,121.378901,2024-10-12 15:00:00,4,Verified,通訊正常
26,玉里鎮避難所擴充,避難需求,3,花蓮縣玉里鎮,2024-10-12 14:30:00,17,花蓮縣玉里鎮臨時避難所,Occurring,避難所人數增加，需要擴充空間,23.332109,121.312345,2024-10-12 16:00:00,4,Verified,已協調場地
27,光復鄉農田復耕,農業災害,2,花蓮縣光復鄉,2024-10-12 15:00:00,15,花蓮縣光復鄉農田區,Occurring,農田清理完成，開始復耕作業,23.654321,121.456789,2024-10-12 17:00:00,4,Verified,復耕進行中
28,富里鄉物資配送,物資需求,3,花蓮縣富里鄉,2024-10-12 16:30:00,16,花蓮縣富里鄉各村落,Occurring,需要將物資配送到各偏遠村落,23.175432,121.256789,2024-10-12 18:00:00,4,Verified,已安排配送
29,壽豐鄉醫療站擴充,醫療需求,3,花蓮縣壽豐鄉,2024-10-13 08:00:00,10,花蓮縣壽豐鄉臨時醫療站,Occurring,醫療站需要擴充設備與空間,23.876543,121.567890,2024-10-13 10:00:00,4,Verified,擴充中
30,光復鄉心理輔導站,心理支援,2,花蓮縣光復鄉,2024-10-13 09:30:00,14,花蓮縣光復鄉各避難所,Occurring,設置心理輔導站服務災民,23.654321,121.456789,2024-10-13 11:00:00,4,Verified,已設置
31,玉里鎮重建規劃,重建需求,2,花蓮縣玉里鎮,2024-10-13 10:00:00,17,花蓮縣玉里鎮,Occurring,開始進行災後重建規劃,23.332109,121.312345,2024-10-13 12:00:00,4,Verified,規劃中
32,富里鄉環境清理,環境災害,3,花蓮縣富里鄉,2024-10-13 11:30:00,16,花蓮縣富里鄉各區域,Occurring,進行環境清理與消毒作業,23.175432,121.256789,2024-10-13 13:00:00,4,Verified,清理中
33,光復鄉學校復課,教育需求,2,花蓮縣光復鄉,2024-10-13 14:00:00,21,花蓮縣光復鄉各學校,Occurring,學校設施檢查，準備復課,23.654321,121.456789,2024-10-13 16:00:00,4,Verified,檢查中
34,壽豐鄉水質檢測,公共設施,2,花蓮縣壽豐鄉,2024-10-13 15:30:00,10,花蓮縣壽豐鄉,Occurring,進行水質檢測確保安全,23.876543,121.567890,2024-10-13 17:00:00,4,Verified,檢測中
35,瑞穗鄉道路修復,道路災害,3,花蓮縣瑞穗鄉,2024-10-14 08:00:00,18,花蓮縣瑞穗鄉山區道路,Occurring,持續進行道路修復工程,23.498765,121.378901,2024-10-14 10:00:00,4,Verified,修復中
36,玉里鎮房屋安全檢查,建築災害,3,花蓮縣玉里鎮,2024-10-14 09:00:00,17,花蓮縣玉里鎮受災區域,Occurring,進行受災房屋安全檢查,23.332109,121.312345,2024-10-14 11:00:00,4,Verified,檢查中
37,光復鄉農作物補助,農業災害,2,花蓮縣光復鄉,2024-10-14 10:30:00,15,花蓮縣光復鄉農田區,Occurring,申請農作物災損補助,23.654321,121.456789,2024-10-14 12:00:00,4,Verified,申請中
38,富里鄉交通疏導,交通管制,2,花蓮縣富里鄉,2024-10-14 13:00:00,16,花蓮縣富里鄉主要道路,Occurring,進行交通疏導與管制,23.175432,121.256789,2024-10-14 15:00:00,4,Verified,疏導中
39,壽豐鄉災民安置,避難需求,3,花蓮縣壽豐鄉,2024-10-14 14:30:00,10,花蓮縣壽豐鄉,Occurring,協助災民安置與生活重建,23.876543,121.567890,2024-10-14 16:00:00,4,Verified,安置中
40,光復鄉志工培訓,人力需求,2,花蓮縣光復鄉,2024-10-14 15:00:00,15,花蓮縣光復鄉,Occurring,進行志工培訓提升服務品質,23.654321,121.456789,2024-10-14 17:00:00,4,Verified,培訓中
41,玉里鎮物資倉庫,物資需求,2,花蓮縣玉里鎮,2024-10-15 08:00:00,17,花蓮縣玉里鎮,Occurring,設置物資倉庫統一管理,23.332109,121.312345,2024-10-15 10:00:00,4,Verified,設置中
42,富里鄉通訊加強,通訊災害,2,花蓮縣富里鄉,2024-10-15 09:30:00,16,花蓮縣富里鄉偏遠地區,Occurring,加強偏遠地區通訊設備,23.175432,121.256789,2024-10-15 11:00:00,4,Verified,加強中
43,壽豐鄉醫療支援,醫療需求,3,花蓮縣壽豐鄉,2024-10-15 10:00:00,10,花蓮縣壽豐鄉,Occurring,持續醫療支援服務,23.876543,121.567890,2024-10-15 12:00:00,4,Verified,支援中
44,光復鄉重建物資,重建需求,2,花蓮縣光復鄉,2024-10-15 11:30:00,15,花蓮縣光復鄉,Occurring,準備重建所需物資,23.654321,121.456789,2024-10-15 13:00:00,4,Verified,準備中
45,瑞穗鄉環境復原,環境災害,2,花蓮縣瑞穗鄉,2024-10-15 14:00:00,18,花蓮縣瑞穗鄉,Occurring,進行環境復原作業,23.498765,121.378901,2024-10-15 16:00:00,4,Verified,復原中
46,玉里鎮災民返家,避難需求,2,花蓮縣玉里鎮,2024-10-15 15:30:00,17,花蓮縣玉里鎮,Occurring,協助災民安全返家,23.332109,121.312345,2024-10-15 17:00:00,4,Verified,協助中
47,富里鄉道路維護,道路災害,2,花蓮縣富里鄉,2024-10-16 08:00:00,16,花蓮縣富里鄉,Occurring,進行道路維護確保安全,23.175432,121.256789,2024-10-16 10:00:00,4,Verified,維護中
48,壽豐鄉災損評估,災損評估,2,花蓮縣壽豐鄉,2024-10-16 09:30:00,10,花蓮縣壽豐鄉,Occurring,進行災損評估作業,23.876543,121.567890,2024-10-16 11:00:00,4,Verified,評估中
49,光復鄉社區重建,重建需求,2,花蓮縣光復鄉,2024-10-16 10:00:00,15,花蓮縣光復鄉,Occurring,啟動社區重建計畫,23.654321,121.456789,2024-10-16 12:00:00,4,Verified,啟動中
50,玉里鎮長期支援,長期需求,1,花蓮縣玉里鎮,2024-10-16 11:30:00,17,花蓮縣玉里鎮,Occurring,規劃長期支援方案,23.332109,121.312345,2024-10-16 13:00:00,4,Verified,規劃中

