request_id,requester_id,incident_id,status,request_date,urgency,type,address,latitude,longitude,reviewed_at,reviewer_id,review_status,review_note
1,15,1,Pending,2024-10-07 10:00:00,5,Item,花蓮縣光復鄉馬太鞍部落,23.654321,121.456789,2024-10-07 12:00:00,4,Verified,需求確認，已發布
2,9,2,Pending,2024-10-07 11:00:00,5,Item,花蓮縣光復鄉馬錫山,23.655432,121.457890,2024-10-07 13:00:00,4,Verified,緊急需求，優先處理
3,9,3,Pending,2024-10-07 12:00:00,4,Rescue,花蓮縣光復鄉馬太鞍溪周邊,23.654321,121.456789,2024-10-07 14:00:00,4,Verified,人力需求，已發布
4,10,4,Fulfilled,2024-10-07 13:00:00,4,Item,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-07 15:00:00,4,Verified,物資已到位
5,10,5,Pending,2024-10-08 09:00:00,4,Rescue,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-08 11:00:00,4,Verified,醫療人力需求
6,15,1,Pending,2024-10-08 10:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-08 12:00:00,4,Verified,衣物需求已滿足
7,11,6,Pending,2024-10-08 11:00:00,5,Rescue,花蓮縣光復鄉馬太鞍溪堰塞湖,23.654321,121.456789,2024-10-08 13:00:00,4,Verified,緊急設備需求
8,15,1,Pending,2024-10-08 12:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-08 14:00:00,4,Verified,嬰兒用品需求
9,14,9,Pending,2024-10-08 13:00:00,3,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-08 15:00:00,4,Verified,心理諮商服務需求
10,12,10,Pending,2024-10-08 14:00:00,5,Item,花蓮縣光復鄉臨時安置區,23.654321,121.456789,2024-10-08 16:00:00,4,Verified,燃料緊急需求
11,9,11,Pending,2024-10-08 15:00:00,4,Rescue,花蓮市區至光復鄉,23.654321,121.456789,2024-10-08 17:00:00,4,Verified,運輸車輛需求
12,29,12,Pending,2024-10-08 16:00:00,3,Item,花蓮縣光復鄉臨時安置區,23.654321,121.456789,2024-10-08 18:00:00,4,Verified,帳篷需求
13,28,13,Fulfilled,2024-10-09 09:00:00,3,Item,花蓮縣光復鄉主要道路,23.654321,121.456789,2024-10-09 11:00:00,4,Verified,照明設備已到位
14,28,14,Pending,2024-10-09 10:00:00,4,Item,花蓮縣光復鄉社區活動中心,23.654321,121.456789,2024-10-09 12:00:00,4,Verified,淨水設備需求
15,27,15,Pending,2024-10-09 11:00:00,4,Rescue,花蓮縣光復鄉受災建築,23.654321,121.456789,,,Unverified,尚無專家認領
16,16,13,Pending,2024-10-09 12:00:00,3,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-09 14:00:00,4,Verified,食物需求
17,17,17,Pending,2024-10-09 13:00:00,4,Item,花蓮縣玉里鎮,23.332109,121.312345,2024-10-09 15:00:00,4,Verified,儲水設備需求
18,18,7,Pending,2024-10-09 14:00:00,3,Rescue,花蓮縣瑞穗鄉紅葉村,23.498765,121.378901,2024-10-09 16:00:00,4,Verified,志工需求
19,19,19,Fulfilled,2024-10-09 15:00:00,3,Item,花蓮縣鳳林鎮衛生所,23.745678,121.445678,2024-10-09 17:00:00,4,Verified,藥品已補給完成
20,20,11,Pending,2024-10-09 16:00:00,4,Rescue,花蓮縣玉里鎮臨時醫療站,23.332109,121.312345,2024-10-09 18:00:00,4,Verified,醫師支援需求
21,21,21,Pending,2024-10-09 17:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-09 19:00:00,4,Verified,兒童衣物需求
22,22,22,Fulfilled,2024-10-09 18:00:00,3,Rescue,花蓮縣卓溪鄉臨時供電站,23.312345,121.234567,2024-10-09 20:00:00,4,Verified,發電機操作員已到位
23,15,23,Pending,2024-10-10 09:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-10 11:00:00,4,Verified,清潔用品需求
24,23,24,Pending,2024-10-10 10:00:00,3,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-10 12:00:00,4,Verified,翻譯志工需求
25,16,25,Fulfilled,2024-10-10 11:00:00,3,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-10 13:00:00,4,Verified,棉被已收集完成
26,24,26,Pending,2024-10-10 12:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-10 14:00:00,4,Verified,營養品需求
27,13,27,Pending,2024-10-10 13:00:00,4,Rescue,花蓮縣光復鄉山區,23.654321,121.456789,,,Unverified,無人機操作員需求
28,29,28,Pending,2024-10-10 14:00:00,3,Item,花蓮縣各避難所,23.654321,121.456789,2024-10-10 16:00:00,4,Verified,行動電源需求
29,25,15,Pending,2024-10-10 15:00:00,3,Rescue,花蓮縣光復鄉動物收容區,23.654321,121.456789,2024-10-10 17:00:00,4,Verified,獸醫師需求
30,26,30,Pending,2024-10-10 16:00:00,3,Item,花蓮縣卓溪鄉,23.312345,121.234567,2024-10-10 18:00:00,4,Verified,手電筒需求
31,15,31,Pending,2024-10-10 17:00:00,3,Rescue,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-10 19:00:00,4,Verified,廚師志工需求
32,14,32,Fulfilled,2024-10-10 18:00:00,4,Item,花蓮縣各避難所,23.654321,121.456789,2024-10-10 20:00:00,4,Verified,消毒用品已備齊
33,9,33,Pending,2024-10-11 09:00:00,4,Item,花蓮縣光復鄉救災現場,23.654321,121.456789,2024-10-11 11:00:00,4,Verified,便當需求
34,27,34,Pending,2024-10-11 10:00:00,3,Rescue,花蓮縣光復鄉,23.654321,121.456789,2024-10-11 12:00:00,4,Verified,機車技師需求
35,13,35,Pending,2024-10-11 11:00:00,3,Item,花蓮縣光復鄉救災現場,23.654321,121.456789,2024-10-11 13:00:00,4,Verified,雨衣需求
36,27,36,Pending,2024-10-11 12:00:00,4,Item,花蓮縣光復鄉受災戶,23.654321,121.456789,2024-10-11 14:00:00,4,Verified,防水布需求
37,28,37,Fulfilled,2024-10-11 13:00:00,3,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-11 15:00:00,4,Verified,清潔人員已充足
38,29,38,Pending,2024-10-11 14:00:00,4,Item,花蓮縣光復鄉受災戶,23.654321,121.456789,2024-10-11 16:00:00,4,Verified,急難救助金需求
39,30,39,Pending,2024-10-11 15:00:00,3,Rescue,花蓮縣光復鄉服務站,23.654321,121.456789,2024-10-11 17:00:00,4,Verified,法律諮詢需求
40,16,40,Fulfilled,2024-10-11 16:00:00,3,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-11 18:00:00,4,Verified,桌椅已齊全
41,15,1,Pending,2024-10-11 17:00:00,2,Item,花蓮縣光復鄉馬太鞍部落,23.654321,121.456789,2024-10-11 19:00:00,4,Verified,一般物資需求
42,9,2,Pending,2024-10-11 18:00:00,3,Rescue,花蓮縣光復鄉,23.654321,121.456789,2024-10-11 20:00:00,4,Verified,一般人力需求
43,10,4,Pending,2024-10-11 19:00:00,2,Item,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-11 21:00:00,4,Verified,醫療物資補充
44,11,6,Pending,2024-10-11 20:00:00,4,Rescue,花蓮縣光復鄉,23.654321,121.456789,2024-10-11 22:00:00,4,Verified,工程設備需求
45,12,10,Pending,2024-10-11 21:00:00,3,Item,花蓮縣光復鄉,23.654321,121.456789,2024-10-11 23:00:00,4,Verified,電力相關物資
46,13,27,Pending,2024-10-12 08:00:00,4,Rescue,花蓮縣光復鄉山區,23.654321,121.456789,,,Unverified,搜救設備需求
47,14,9,Pending,2024-10-12 09:00:00,2,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-12 11:00:00,4,Verified,心理支援持續需求
48,15,1,Pending,2024-10-12 10:00:00,2,Item,花蓮縣光復鄉,23.654321,121.456789,2024-10-12 12:00:00,4,Verified,長期物資需求
49,16,13,Pending,2024-10-12 11:00:00,2,Item,花蓮縣富里鄉,23.175432,121.256789,2024-10-12 13:00:00,4,Verified,持續物資支援
50,17,17,Pending,2024-10-12 12:00:00,3,Item,花蓮縣玉里鎮,23.332109,121.312345,2024-10-12 14:00:00,4,Verified,水資源相關需求
51,18,21,Pending,2024-10-12 15:00:00,4,Rescue,花蓮縣玉里鎮山區,23.332109,121.312345,2024-10-12 17:00:00,4,Verified,土石流清理人力
52,19,22,Pending,2024-10-12 16:00:00,3,Rescue,花蓮縣富里鄉富里橋,23.175432,121.256789,2024-10-12 18:00:00,4,Verified,橋樑檢測專家
53,20,23,Fulfilled,2024-10-12 17:00:00,2,Item,花蓮縣光復鄉,23.654321,121.456789,2024-10-12 19:00:00,4,Verified,電力相關物資已到位
54,21,24,Fulfilled,2024-10-12 18:00:00,2,Item,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-12 20:00:00,4,Verified,道路修復物資已到位
55,22,25,Fulfilled,2024-10-12 19:00:00,2,Item,花蓮縣瑞穗鄉,23.498765,121.378901,2024-10-12 21:00:00,4,Verified,通訊設備已到位
56,15,26,Pending,2024-10-13 08:00:00,3,Item,花蓮縣玉里鎮臨時避難所,23.332109,121.312345,2024-10-13 10:00:00,4,Verified,避難所擴充物資
57,16,27,Pending,2024-10-13 09:00:00,2,Rescue,花蓮縣光復鄉農田區,23.654321,121.456789,2024-10-13 11:00:00,4,Verified,農田復耕人力
58,17,28,Pending,2024-10-13 10:00:00,3,Rescue,花蓮縣富里鄉各村落,23.175432,121.256789,2024-10-13 12:00:00,4,Verified,物資配送車輛
59,18,29,Pending,2024-10-13 11:00:00,3,Item,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-13 13:00:00,4,Verified,醫療設備需求
60,19,30,Pending,2024-10-13 12:00:00,2,Rescue,花蓮縣光復鄉各避難所,23.654321,121.456789,2024-10-13 14:00:00,4,Verified,心理輔導人員
61,20,31,Pending,2024-10-13 13:00:00,2,Rescue,花蓮縣玉里鎮,23.332109,121.312345,2024-10-13 15:00:00,4,Verified,重建規劃專家
62,21,32,Pending,2024-10-13 14:00:00,3,Rescue,花蓮縣富里鄉各區域,23.175432,121.256789,2024-10-13 16:00:00,4,Verified,環境清理人力
63,22,33,Pending,2024-10-13 15:00:00,2,Item,花蓮縣光復鄉各學校,23.654321,121.456789,2024-10-13 17:00:00,4,Verified,學校復課物資
64,23,34,Pending,2024-10-13 16:00:00,2,Item,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-13 18:00:00,4,Verified,水質檢測設備
65,24,35,Pending,2024-10-14 08:00:00,3,Rescue,花蓮縣瑞穗鄉山區道路,23.498765,121.378901,2024-10-14 10:00:00,4,Verified,道路修復人力
66,25,36,Pending,2024-10-14 09:00:00,3,Rescue,花蓮縣玉里鎮受災區域,23.332109,121.312345,2024-10-14 11:00:00,4,Verified,房屋安全檢查專家
67,26,37,Pending,2024-10-14 10:00:00,2,Item,花蓮縣光復鄉農田區,23.654321,121.456789,2024-10-14 12:00:00,4,Verified,農作物補助相關
68,27,38,Pending,2024-10-14 11:00:00,2,Rescue,花蓮縣富里鄉主要道路,23.175432,121.256789,2024-10-14 13:00:00,4,Verified,交通疏導人員
69,28,39,Pending,2024-10-14 12:00:00,3,Item,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-14 14:00:00,4,Verified,災民安置物資
70,29,40,Pending,2024-10-14 13:00:00,2,Rescue,花蓮縣光復鄉,23.654321,121.456789,2024-10-14 15:00:00,4,Verified,志工培訓講師
71,30,41,Pending,2024-10-15 08:00:00,2,Item,花蓮縣玉里鎮,23.332109,121.312345,2024-10-15 10:00:00,4,Verified,物資倉庫設備
72,31,42,Pending,2024-10-15 09:00:00,2,Item,花蓮縣富里鄉偏遠地區,23.175432,121.256789,2024-10-15 11:00:00,4,Verified,通訊設備
73,32,43,Pending,2024-10-15 10:00:00,3,Rescue,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-15 12:00:00,4,Verified,醫療支援人員
74,33,44,Pending,2024-10-15 11:00:00,2,Item,花蓮縣光復鄉,23.654321,121.456789,2024-10-15 13:00:00,4,Verified,重建物資
75,34,45,Pending,2024-10-15 12:00:00,2,Rescue,花蓮縣瑞穗鄉,23.498765,121.378901,2024-10-15 14:00:00,4,Verified,環境復原人力
76,35,46,Pending,2024-10-15 13:00:00,2,Rescue,花蓮縣玉里鎮,23.332109,121.312345,2024-10-15 15:00:00,4,Verified,災民返家協助人員
77,36,47,Pending,2024-10-16 08:00:00,2,Rescue,花蓮縣富里鄉,23.175432,121.256789,2024-10-16 10:00:00,4,Verified,道路維護人員
78,37,48,Pending,2024-10-16 09:00:00,2,Rescue,花蓮縣壽豐鄉,23.876543,121.567890,2024-10-16 11:00:00,4,Verified,災損評估專家
79,38,49,Pending,2024-10-16 10:00:00,2,Item,花蓮縣光復鄉,23.654321,121.456789,2024-10-16 12:00:00,4,Verified,社區重建物資
80,39,50,Pending,2024-10-16 11:00:00,1,Rescue,花蓮縣玉里鎮,23.332109,121.312345,2024-10-16 13:00:00,4,Verified,長期支援規劃
81,40,1,Pending,2024-10-16 12:00:00,2,Item,花蓮縣光復鄉馬太鞍部落,23.654321,121.456789,2024-10-16 14:00:00,4,Verified,持續物資需求
82,41,2,Pending,2024-10-16 13:00:00,2,Item,花蓮縣光復鄉馬錫山,23.655432,121.457890,2024-10-16 15:00:00,4,Verified,飲用水持續需求
83,42,3,Pending,2024-10-16 14:00:00,3,Rescue,花蓮縣富里鄉台9線,23.175432,121.256789,2024-10-16 16:00:00,4,Verified,道路清理持續需求
84,43,4,Pending,2024-10-16 15:00:00,2,Item,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-16 17:00:00,4,Verified,醫療物資補充
85,44,5,Pending,2024-10-16 16:00:00,3,Rescue,花蓮縣玉里鎮玉里大橋,23.332109,121.312345,2024-10-16 18:00:00,4,Verified,橋樑修復專家
86,45,6,Pending,2024-10-17 08:00:00,4,Rescue,花蓮縣光復鄉馬太鞍溪上游,23.654321,121.456789,2024-10-17 10:00:00,4,Verified,堰塞湖處理持續
87,46,7,Pending,2024-10-17 09:00:00,2,Rescue,花蓮縣瑞穗鄉紅葉村,23.498765,121.378901,2024-10-17 11:00:00,4,Verified,道路清理持續
88,47,8,Pending,2024-10-17 10:00:00,2,Item,花蓮縣鳳林鎮,23.745678,121.445678,2024-10-17 12:00:00,4,Verified,電力相關物資
89,48,9,Pending,2024-10-17 11:00:00,2,Item,花蓮縣光復鄉社區活動中心,23.654321,121.456789,2024-10-17 13:00:00,4,Verified,避難所物資補充
90,49,10,Pending,2024-10-17 12:00:00,2,Item,花蓮縣卓溪鄉,23.312345,121.234567,2024-10-17 14:00:00,4,Verified,通訊設備補充
91,50,11,Pending,2024-10-17 13:00:00,3,Item,花蓮縣玉里鎮中正路,23.332109,121.312345,2024-10-17 15:00:00,4,Verified,房屋重建物資
92,51,12,Pending,2024-10-17 14:00:00,2,Item,花蓮縣光復鄉農田區,23.654321,121.456789,2024-10-17 16:00:00,4,Verified,農田復耕物資
93,52,13,Pending,2024-10-17 15:00:00,2,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-17 17:00:00,4,Verified,避難所持續物資
94,53,14,Pending,2024-10-17 16:00:00,3,Rescue,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-17 18:00:00,4,Verified,醫療人員持續需求
95,54,15,Pending,2024-10-17 17:00:00,2,Item,花蓮縣光復鄉動物收容區,23.654321,121.456789,2024-10-17 19:00:00,4,Verified,動物救援物資
96,55,16,Pending,2024-10-18 08:00:00,2,Rescue,花蓮縣玉里鎮主要道路,23.332109,121.312345,2024-10-18 10:00:00,4,Verified,交通管制人員
97,56,17,Pending,2024-10-18 09:00:00,2,Rescue,花蓮縣瑞穗鄉紅葉村,23.498765,121.378901,2024-10-18 11:00:00,4,Verified,志工持續需求
98,57,18,Pending,2024-10-18 10:00:00,1,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-18 12:00:00,4,Verified,心理支援持續
99,58,19,Fulfilled,2024-10-18 11:00:00,1,Item,花蓮縣富里鄉,23.175432,121.256789,2024-10-18 13:00:00,4,Verified,通訊恢復相關
100,59,20,Fulfilled,2024-10-18 12:00:00,1,Item,花蓮縣光復鄉主要道路,23.654321,121.456789,2024-10-18 14:00:00,4,Verified,道路恢復相關

